feature_set,model,split,threshold,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall,true_no_pred_no,true_no_pred_yes,true_yes_pred_no,true_yes_pred_yes,C,class_weight,experiment_type
v1_only,logistic_c_0_05__none,train,0.5,0.6522654259443891,0.6243170816209536,0.7275883016575545,0.6648691514670896,0.8033729398236872,0.44526122341822,0.8033729398236872,1696,2113,1026,4192,0.05,none,logistic_tuning
v1_only,logistic_c_0_05__none,validation,0.5,0.5896118721461188,0.5486744773210489,0.68478737395879,0.6546521374685667,0.7178308823529411,0.3795180722891566,0.7178308823529411,252,412,307,781,0.05,none,logistic_tuning
v1_only,logistic_c_0_05__balanced,train,0.5,0.6363132823750969,0.6407540401025149,0.6606016747648092,0.7171717171717171,0.6123035645841318,0.6692045156208979,0.6123035645841318,2549,1260,2023,3195,0.05,balanced,logistic_tuning
v1_only,logistic_c_0_05__balanced,validation,0.5,0.54337899543379,0.5487187721474132,0.5889003083247688,0.6678321678321678,0.5266544117647058,0.5707831325301205,0.5266544117647058,379,285,515,573,0.05,balanced,logistic_tuning
v1_only,logistic_c_0_05__no_1_2,train,0.5,0.6479450537277057,0.6392600044215546,0.6953020134228188,0.6957022256331543,0.6949022614028363,0.5836177474402731,0.6949022614028363,2223,1586,1592,3626,0.05,no_1_2,logistic_tuning
v1_only,logistic_c_0_05__no_1_2,validation,0.5,0.5559360730593608,0.5441564050318922,0.6237911025145068,0.6581632653061225,0.5928308823529411,0.4954819277108434,0.5928308823529411,329,335,443,645,0.05,no_1_2,logistic_tuning
v1_only,logistic_c_0_05__yes_1_2,train,0.5,0.645175584358037,0.6019856896191375,0.7411298795764972,0.6408106219426974,0.8786891529321579,0.3252822263061171,0.8786891529321579,1239,2570,633,4585,0.05,yes_1_2,logistic_tuning
v1_only,logistic_c_0_05__yes_1_2,validation,0.5,0.6067351598173516,0.541039156626506,0.7195767195767195,0.6457268078889701,0.8125,0.26957831325301207,0.8125,179,485,204,884,0.05,yes_1_2,logistic_tuning
v1_only,logistic_c_0_05__yes_1_4,train,0.5,0.6323252464827739,0.5792086202002258,0.7430120015485869,0.6233597505521632,0.9195093905711,0.23890784982935154,0.9195093905711,910,2899,420,4798,0.05,yes_1_4,logistic_tuning
v1_only,logistic_c_0_05__yes_1_4,validation,0.5,0.6238584474885844,0.5410336197732105,0.7446726075164665,0.6436704621567314,0.8832720588235294,0.19879518072289157,0.8832720588235294,132,532,127,961,0.05,yes_1_4,logistic_tuning
v1_only,logistic_c_0_1__none,train,0.5,0.6560319042871385,0.6293473296234805,0.7289866457187746,0.669338034941497,0.8003066308930624,0.45838802835389864,0.8003066308930624,1746,2063,1042,4176,0.1,none,logistic_tuning
v1_only,logistic_c_0_1__none,validation,0.5,0.5833333333333334,0.5430324238128987,0.6789797713280563,0.6509274873524452,0.7095588235294118,0.37650602409638556,0.7095588235294118,250,414,316,772,0.1,none,logistic_tuning
v1_only,logistic_c_0_1__balanced,train,0.5,0.6418522211144345,0.645403364225517,0.6677628198540746,0.71992023044538,0.6226523572249905,0.6681543712260436,0.6226523572249905,2545,1264,1969,3249,0.1,balanced,logistic_tuning
v1_only,logistic_c_0_1__balanced,validation,0.5,0.5468036529680366,0.5500088589652729,0.5953109072375128,0.6681922196796338,0.5367647058823529,0.5632530120481928,0.5367647058823529,374,290,504,584,0.1,balanced,logistic_tuning
v1_only,logistic_c_0_1__no_1_2,train,0.5,0.6509360806469481,0.6422371074297917,0.6980354575946335,0.6981023576768257,0.697968570333461,0.5865056445261223,0.697968570333461,2234,1575,1576,3642,0.1,no_1_2,logistic_tuning
v1_only,logistic_c_0_1__no_1_2,validation,0.5,0.557648401826484,0.5452416282778172,0.6261456825856248,0.6588832487309645,0.5965073529411765,0.4939759036144578,0.5965073529411765,328,336,439,649,0.1,no_1_2,logistic_tuning
v1_only,logistic_c_0_1__yes_1_2,train,0.5,0.651379195746095,0.6102582936602614,0.7434162250305748,0.6469419611182063,0.8737064009198927,0.3468101864006301,0.8737064009198927,1321,2488,659,4559,0.1,yes_1_2,logistic_tuning
v1_only,logistic_c_0_1__yes_1_2,validation,0.5,0.603310502283105,0.5412163359319632,0.7141094199917729,0.6463142218912882,0.7977941176470589,0.28463855421686746,0.7977941176470589,189,475,220,868,0.1,yes_1_2,logistic_tuning
v1_only,logistic_c_0_1__yes_1_4,train,0.5,0.637642627672538,0.5866437552181439,0.7445130047645083,0.628345418589321,0.9133767727098505,0.25991073772643736,0.9133767727098505,990,2819,452,4766,0.1,yes_1_4,logistic_tuning
v1_only,logistic_c_0_1__yes_1_4,validation,0.5,0.6158675799086758,0.5363605155917789,0.7365949119373777,0.6414451261077028,0.8648897058823529,0.20783132530120482,0.8648897058823529,138,526,147,941,0.1,yes_1_4,logistic_tuning
v1_only,logistic_c_0_3__none,train,0.5,0.6585798161072338,0.6337488846744024,0.7286016202888341,0.6739980449657869,0.7928325028746647,0.4746652664741402,0.7928325028746647,1808,2001,1081,4137,0.3,none,logistic_tuning
v1_only,logistic_c_0_3__none,validation,0.5,0.5781963470319634,0.538896394401134,0.6737306843267108,0.6482582837723024,0.7012867647058824,0.37650602409638556,0.7012867647058824,250,414,325,763,0.3,none,logistic_tuning
v1_only,logistic_c_0_3__balanced,train,0.5,0.646948044754625,0.6500947504754881,0.6734965679745928,0.723530706581554,0.6299348409352242,0.6702546600157522,0.6299348409352242,2553,1256,1931,3287,0.3,balanced,logistic_tuning
