feature_set,model,split,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall
v1_only,dummy_most_frequent,train,0.578043646837266,0.5,0.7326079326079326,0.578043646837266,1.0,0.0,1.0
v1_only,dummy_most_frequent,validation,0.6210045662100456,0.5,0.7661971830985915,0.6210045662100456,1.0,0.0,1.0
v1_only,dummy_most_frequent,test,0.5746140651801029,0.5,0.7298474945533769,0.5746140651801029,1.0,0.0,1.0
v1_only,logistic_regression,train,0.6596876038551014,0.6361249420262132,0.7278043593833068,0.676829268292683,0.7870831736297432,0.4851667104226831,0.7870831736297432
v1_only,logistic_regression,validation,0.5764840182648402,0.5372242647058824,0.6722614840989399,0.6471088435374149,0.6994485294117647,0.375,0.6994485294117647
v1_only,logistic_regression,test,0.5540308747855918,0.5374157438613385,0.6257197696737045,0.6042632066728453,0.6487562189054726,0.4260752688172043,0.6487562189054726
v1_only,random_forest_reference,train,0.8868948709427273,0.8842654035684985,0.9020623501199041,0.9030151718840023,0.9011115369873515,0.8674192701496456,0.9011115369873515
v1_only,random_forest_reference,validation,0.5616438356164384,0.55256688518781,0.6257309941520468,0.6659751037344398,0.5900735294117647,0.5150602409638554,0.5900735294117647
v1_only,random_forest_reference,test,0.5408805031446541,0.5345249558658322,0.5909322465613857,0.605427974947808,0.5771144278606966,0.49193548387096775,0.5771144278606966
v1_only,catboost_classifier,train,0.674975074775673,0.6503408843572258,0.7419071076706545,0.6856910569105691,0.8081640475277885,0.49251772118666315,0.8081640475277885
v1_only,catboost_classifier,validation,0.5981735159817352,0.5552744064493267,0.6936466492602262,0.6586776859504132,0.7325367647058824,0.37801204819277107,0.7325367647058824
v1_only,catboost_classifier,test,0.5477415666094911,0.5223439255336222,0.6376546037562987,0.5908319185059423,0.6925373134328359,0.3521505376344086,0.6925373134328359
v1_yellow_related,dummy_most_frequent,train,0.578043646837266,0.5,0.7326079326079326,0.578043646837266,1.0,0.0,1.0
v1_yellow_related,dummy_most_frequent,validation,0.6210045662100456,0.5,0.7661971830985915,0.6210045662100456,1.0,0.0,1.0
v1_yellow_related,dummy_most_frequent,test,0.5746140651801029,0.5,0.7298474945533769,0.5746140651801029,1.0,0.0,1.0
v1_yellow_related,logistic_regression,train,0.6621247369004098,0.6391191767978868,0.7290815420145674,0.6794701986754967,0.786508240705251,0.49173011289052243,0.786508240705251
v1_yellow_related,logistic_regression,validation,0.5844748858447488,0.5418973688873139,0.6820960698689956,0.6497504159733777,0.7178308823529411,0.36596385542168675,0.7178308823529411
v1_yellow_related,logistic_regression,test,0.5626072041166381,0.5448784304285027,0.635540733682706,0.6096892138939671,0.663681592039801,0.4260752688172043,0.663681592039801
v1_yellow_related,random_forest_reference,train,0.9334219563531627,0.9316707791284506,0.9424384637486831,0.941987363584147,0.9428899961671139,0.9204515620897874,0.9428899961671139
v1_yellow_related,random_forest_reference,validation,0.6061643835616438,0.5734463589652729,0.6908602150537635,0.673951048951049,0.7086397058823529,0.4382530120481928,0.7086397058823529
v1_yellow_related,random_forest_reference,test,0.5677530017152659,0.5505777563793933,0.6389684813753582,0.6143250688705234,0.6656716417910448,0.43548387096774194,0.6656716417910448
v1_yellow_related,catboost_classifier,train,0.6787415531184225,0.6553356864644779,0.7434536447275301,0.6904370686822215,0.8052893829053277,0.5053819900236283,0.8052893829053277
v1_yellow_related,catboost_classifier,validation,0.6078767123287672,0.5575112951807228,0.7080322991925202,0.658498023715415,0.765625,0.3493975903614458,0.765625
v1_yellow_related,catboost_classifier,test,0.5563178959405375,0.526665061787835,0.6526410026857654,0.5931651749389748,0.7253731343283583,0.3279569892473118,0.7253731343283583
